TRDMNT,bm_g10,Count,bm,Ew_ret,Vw_ret
200001,1,579.0,-0.010870514535257973,0.09800362406546566,-0.03725002453497883
200001,2,578.0,0.17301462050918973,0.04687716474027752,-0.024514201094357885
200001,3,578.0,0.2777629364264127,0.044597004582046594,-0.045407885268225215
200001,4,578.0,0.37639596607659903,0.02305328087388716,-0.02785498354002129
200001,5,578.0,0.4746141967429814,0.02012119196344003,-0.04926441627137696
200001,6,578.0,0.5788022750457886,0.029064083412020072,-0.03158739938504058
200001,7,578.0,0.7003365746986204,0.04721363356939115,-0.04979708461900542
200001,8,578.0,0.8651347793668579,0.05321864120558751,-0.057187518452297956
200001,9,578.0,1.099840940955116,0.08229160406124836,-0.03528433375790393
200001,10,579.0,1.8070141324071136,0.1247809493007037,0.021862228013479396
200001,high_low,,,0.026777325235238042,0.05911225254845823
200002,1,574.0,-0.004046098510096935,0.268455193707211,0.02757153403603881
200002,2,573.0,0.17267386347438649,0.17531770743879235,-0.03229330427377009
200002,3,573.0,0.27721795821220424,0.16167407530709293,-0.032028046725654895
200002,4,573.0,0.37586110147875645,0.09578572002096915,-0.052448410337153015
200002,5,573.0,0.4743661846902284,0.06387579753173181,-0.07366390446974863
200002,6,573.0,0.5797152398916179,0.07216836120473932,-0.04014060951430221
200002,7,573.0,0.7014442693046627,0.10190241900368378,-0.053268051664702686
200002,8,573.0,0.8666186531265611,0.09864185348977504,-0.018519349451645975
200002,9,573.0,1.1029837270506275,0.12086256248237529,-0.004083700987577111
200002,10,573.0,1.8098861143608065,0.18125100599858396,0.03157119255892207
200002,high_low,,,-0.08720418770862703,0.003999658522883264
200003,1,570.0,-0.002429356143022832,-0.03648649841113675,0.07094897609690366
200003,2,570.0,0.17186454365549078,-0.0041506692648854435,0.1104212340183742
200003,3,569.0,0.27616303681612786,0.015785035361857228,0.10327475206180789
200003,4,570.0,0.3744108969958521,0.03291319803092663,0.11937965232248883
