,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,0.487679796175059,0.660518950447329,0.8565256850363622,0.8404354864590031,0.9359569019206725,1.056588505610207,0.9895637195765355,1.0335086483070473,1.1872739217194566,1.4180827591624172,0.9304029629873579
t,0.9943878947675843,1.5946882888140232,2.213758759448433,2.2858154099003003,2.5986784537322283,2.9994778277925866,2.8624347230031892,2.850379089871937,3.067421115019208,2.7555971720469716,3.458582052346575
p,0.32003405920462613,0.11078195819626181,0.026845378429222407,0.022265059781720754,0.009358338830614859,0.002704428066293777,0.00420399848350715,0.004366714931334608,0.002159144413692475,0.005858509960624838,0.0005430268394039976
