,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,0.7479981531527833,0.7650731655487304,0.843206131722665,0.8644930310672263,0.8981205965142064,0.9576665146607405,0.7790079750788396,1.011965164559073,1.005599646980368,1.1963635653107083,0.44836541215792514
t,2.139090872107779,2.7705276576055433,3.0041444704889377,3.2301954288320114,3.3150511385835726,3.0154828414321746,2.2786632893056287,2.794101223904534,2.584226594869057,2.4435838682094744,1.131437688220535
p,0.032428309519638085,0.005596554700184438,0.0026632882667262706,0.0012370562863124185,0.0009162636084519209,0.0025657045536909037,0.022687088587297757,0.005204418512260607,0.009759764995817852,0.014542189155024303,0.25787091623799885
