,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,0.7866072872999073,1.0660233916595123,1.0490638571403934,0.8688796060790772,1.164534571286898,1.039027604278466,0.9318936541835923,1.058396344410977,0.9550887154286776,0.9637744335650913,0.17716714626518434
t,1.5143694002517372,2.4605492154231823,3.01994343730934,2.6631864634553164,3.4846573384851496,2.80087717769475,2.1741331145143414,2.6510278207353117,2.428809363457747,2.4037591596631,1.0896101002108154
p,0.1299321756925352,0.013872454403325274,0.0025282189591692684,0.007740450879042866,0.0004927676540784593,0.005096391186853379,0.029695139693533858,0.008024723105932332,0.015148495197291055,0.016227460246368043,0.2758849320162752
