,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,0.9010821076798091,0.6870043720771731,0.8213306534710181,0.7286741798327963,0.7988515586950686,0.7771830099617194,0.7716197589226915,1.0181551349082585,0.9415225144197521,0.8623792477290785,-0.038702859950730736
t,2.9513979867694897,2.3935638435486424,2.8577916772820684,2.4490128847679165,2.604112954880294,2.6759180115492667,2.356425915235235,3.203205445579409,3.1374662793229193,2.9089285038215267,-0.3547699585856683
p,0.0031633902200338404,0.01668557716146966,0.004266003616600018,0.01432483236888808,0.009211239371671294,0.007452487376786845,0.018451747819600534,0.0013590698924137296,0.0017041487530864668,0.0036266978909421355,0.722761935895585
