TRDMNT,spi_g10,Count,spi,Ew_ret,Vw_ret
200001,1,531.0,-2.4663707430136483,0.09582688470301888,-0.0284927044706357
200001,2,530.0,-0.4881062768043595,0.08847770761754072,-0.04680819819436998
200001,3,561.0,0.056690298196992686,0.054888028622549115,-0.01524640576801712
200001,4,526.0,0.20421044798919127,0.03248465526630798,-0.037641451400336146
200001,5,541.0,0.2601898690479241,-0.03100032462039747,-0.05758407344691788
200001,6,501.0,0.28861741614297703,0.02880189341996265,-0.038042253074713345
200001,7,528.0,0.3568247985351844,0.10715346350376842,-0.035736674096467656
200001,8,536.0,0.40494870995304655,0.10428311997136082,0.012233422540638979
200001,9,571.0,0.48227277476287433,0.06860830388335093,-0.06129773286379842
200001,10,479.0,0.9664455889815454,0.04160277476951555,-0.05907834123995448
200001,high_low,,,-0.05422410993350333,-0.030585636769318778
200002,1,525.0,-2.456716194318045,0.19145347257477288,-0.038386445349652014
200002,2,525.0,-0.4758942051642231,0.14102290676422088,-0.008610583809222376
200002,3,556.0,0.057372366965744895,0.07880150365277747,-0.048084494163611574
200002,4,494.0,0.19250460944387068,0.12288363369932659,-0.04384592256124819
200002,5,525.0,0.2540560981977056,-0.03476931509653773,-0.11783868251878055
200002,6,525.0,0.28309565296310074,0.06406711536022779,-0.035472510693862355
200002,7,525.0,0.35321522527301813,0.2733482163296615,0.08023851921836009
200002,8,566.0,0.39729372794959406,0.2284863584061098,0.027851045383749735
200002,9,530.0,0.479805708635211,0.18136569546015902,-0.003458679852538303
200002,10,479.0,0.9728939632694662,0.09890918642445624,-0.026583574025958453
200002,high_low,,,-0.09254428615031664,0.011802871323693561
200003,1,520.0,-2.4672050525949833,-0.008908182655402502,0.10845004057567344
200003,2,519.0,-0.4724747866245896,0.01740031825982101,0.0899612325799409
200003,3,541.0,0.058370110209726364,0.021342617541631265,0.08649553634051224
200003,4,498.0,0.19466042342115758,0.036159285420885194,0.0997776095536896
200003,5,555.0,0.25413425206731416,0.021767856133460342,0.15906480897303735
200003,6,484.0,0.28723023594094216,0.06675147945389898,0.135412397387453
200003,7,534.0,0.35874602813707046,-0.03953972610230886,0.0844165545828291
200003,8,517.0,0.39625169919760406,0.0026385383106677916,0.13006759626639655
200003,9,555.0,0.47735165488716363,0.012639888755293604,0.07385565797080836
200003,10,472.0,0.970795129353489,0.018416447603644023,0.08182972951829234
200003,high_low,,,0.027324630259046523,-0.026620311057381094
200004,1,516.0,-2.4581340708210755,-0.12132560809392175,-0.028064059739364412
200004,2,516.0,-0.46339311547332374,-0.08771539159454358,-0.027013599838866934
200004,3,541.0,0.057181434260181664,-0.04670831715315763,0.020429516411588508
200004,4,490.0,0.18580160955021136,-0.07263631555474488,-0.0034325574045669916
200004,5,515.0,0.2471154400922653,0.010485529260148091,-0.00412635838724292
200004,6,557.0,0.2946350216476602,-0.05900055401401086,-0.013326837279957857
200004,7,594.0,0.36760652371646646,-0.110349055315656,-0.016907501820379124
200004,8,435.0,0.39475714349367086,-0.07678738547733768,0.005047550756575763
200004,9,519.0,0.46162819517564674,-0.14494170379423976,-0.037958569822434285
200004,10,473.0,0.9820111184033746,-0.07889286860792298,-0.0157663105428357
200004,high_low,,,0.042432739485998766,0.012297749196528714
200005,1,511.0,-2.4533579558736984,-0.08849669310676002,0.029690555961810593
200005,2,511.0,-0.44750218307742307,-0.07110407643225947,-0.004460968354718569
200005,3,563.0,0.06349904765361827,-0.05634765186952712,0.010126466345726398
200005,4,866.0,0.21593556173556913,-0.025831137258649748,0.02633894518728877
200005,5,126.0,0.25218433121397493,-0.021757002169630623,-0.023850516488234455
200005,6,502.0,0.2907779933876348,0.01997352811386571,0.0342471375518387
200005,7,637.0,0.36391524133097786,-0.07258140438504142,-0.018687551066260803
200005,8,389.0,0.3946441150955543,-0.08038747793935566,-0.045567985267903545
200005,9,523.0,0.4495500998845076,-0.10212834429069881,-0.04057812305239926
200005,10,480.0,0.9612465011643303,-0.0515806284395443,-0.011596301054585279
200005,high_low,,,0.03691606466721572,-0.041286857016395874
