TRDMNT,mom6m_g10,Count,mom6m,Ew_ret,Vw_ret
200001,1,85.0,-0.11239633668917623,0.07503560000000001,0.08865140538465684
200001,2,84.0,-0.0034347196873232757,0.09290653571428571,0.10009644898526855
200001,3,84.0,0.05757504263022492,0.11274094047619047,0.13473747873100472
200001,4,84.0,0.10406053803138285,0.10413157142857143,0.09941393617405919
200001,5,85.0,0.14867548954043605,0.1557812823529412,0.15700558507420206
200001,6,84.0,0.19263028019007167,0.10669035714285714,0.12488633179866758
200001,7,84.0,0.24871773879800094,0.14697334523809524,0.17497611387149514
200001,8,84.0,0.32101011180775146,0.18140266666666666,0.22772638453708963
200001,9,84.0,0.4260277823036746,0.2183305,0.24904381792909094
200001,10,85.0,0.755072030967047,0.25104549411764704,0.2796801344053275
200001,high_low,,,0.17600989411764703,0.1910287290206707
200002,1,86.0,-0.3386078816211062,0.13166382558139533,0.12915454127812392
200002,2,85.0,-0.26088538432351055,0.12326594117647059,0.11175904903644389
200002,3,86.0,-0.21914434429142127,0.11864113953488371,0.13103296917798193
200002,4,85.0,-0.17942289938584666,0.12307238823529411,0.12759723978706808
200002,5,86.0,-0.1394097841915384,0.12460048837209303,0.11879148216640029
200002,6,85.0,-0.10447776575312893,0.12327425882352942,0.10486883417013872
200002,7,85.0,-0.0625391833073152,0.1669950470588235,0.17682019235868007
200002,8,86.0,-0.00958983130158701,0.11859633720930232,0.10540915236713033
200002,9,85.0,0.06366528945301977,0.15277815294117647,0.12799191067035817
200002,10,86.0,0.24249710921217538,0.15505698837209303,0.1650609384252907
200002,high_low,,,0.023393162790697697,0.035906397147166785
200003,1,87.0,-0.3184357962361626,0.061438689655172414,0.020243054390569355
200003,2,86.0,-0.24545264379023884,0.09651538372093024,0.0646343280716554
200003,3,86.0,-0.2087459345947419,0.0822641976744186,0.04641837891935677
200003,4,87.0,-0.17672536819166224,0.10086163218390805,0.07739538948826105
200003,5,86.0,-0.15086071980095328,0.14228177906976744,0.07548491127271278
200003,6,86.0,-0.11995899151396543,0.11936167441860464,0.0696690354296749
200003,7,87.0,-0.08407566490130892,0.1094316091954023,0.0628818313664483
200003,8,86.0,-0.04586865170925794,0.12517810465116277,0.07651297977889294
200003,9,86.0,0.017848476291954907,0.10231895348837208,0.06901224234226472
200003,10,87.0,0.23583506559344425,0.06788262068965517,0.037482646563703
200003,high_low,,,0.006443931034482757,0.017239592173133648
200004,1,88.0,-0.29071498498892806,0.004752045454545453,0.015507301582341532
200004,2,87.0,-0.20734181055717463,0.02305458620689655,0.026888764949692476
200004,3,87.0,-0.16516998728445245,0.013271908045977011,0.015543210287352891
200004,4,87.0,-0.13036481937152206,0.004487045977011494,-0.0020113464516854423
200004,5,87.0,-0.09306112688180763,0.03875518390804598,0.04768747783880904
200004,6,87.0,-0.04984572491551533,0.015969114942528735,0.015786894879712743
200004,7,87.0,-0.0017342155352522838,0.006910770114942528,-0.011001464631033117
200004,8,87.0,0.060326043535596584,0.015083114942528736,0.007102957630161975
200004,9,87.0,0.1970509127737432,0.016351885057471264,0.013567122192437603
200004,10,88.0,0.6221111394964223,0.004153272727272728,0.0001403206417694868
200004,high_low,,,-0.0005987727272727256,-0.015366980940572044
200005,1,88.0,-0.18075289029067865,0.02244014772727273,0.029326895127380088
200005,2,87.0,-0.09634877923703798,0.04792842528735632,0.042397294681626535
200005,3,87.0,-0.05564638045949318,0.0523646091954023,0.04001041705946824
200005,4,88.0,-0.019460816893765793,0.039844534090909094,0.039691600415602865
200005,5,87.0,0.020430169465355225,0.043547149425287354,0.03442701157212099
200005,6,87.0,0.0772455703034358,0.04936608045977012,0.035225183193597076
200005,7,88.0,0.14465227417149304,0.03644955681818182,0.04408302035989721
200005,8,87.0,0.24767525799859988,0.05865548275862069,0.056682881832107845
200005,9,87.0,0.4092676788698178,0.02973755172413793,0.005702203957404857
200005,10,88.0,0.9381269348744129,0.01826905681818182,0.0037046811662817887
200005,high_low,,,-0.004171090909090909,-0.0256222139610983
200006,1,89.0,-0.06123620773971687,0.04904183146067415,0.06505823012265606
200006,2,88.0,0.02679470388905075,0.04414325,0.0510234402544788
200006,3,88.0,0.07429319200874145,0.037130329545454546,0.04204240006341432
200006,4,88.0,0.11611570043462495,0.048157340909090914,0.06519231917632985
200006,5,89.0,0.163471259322378,0.035165955056179775,0.04016892736215409
200006,6,88.0,0.22814101122278768,0.03676607954545455,0.044544471915863415
200006,7,88.0,0.3031704335508104,0.02869465909090909,0.03694578783331597
200006,8,88.0,0.4146851159009542,0.0071754772727272735,0.010203004598437737
200006,9,88.0,0.576894896611052,-0.00980575,-0.008866244566312614
200006,10,89.0,1.1278173173173445,-0.028042853932584273,-0.03872663419988014
200006,high_low,,,-0.07708468539325843,-0.1037848643225362
200007,1,90.0,-0.012444989407601088,0.08235843333333333,0.06541492588202276
200007,2,89.0,0.0782276147877809,0.08092501123595505,0.0648744724778434
200007,3,89.0,0.12989321447510652,0.06401577528089887,0.05605317555201892
200007,4,89.0,0.17689348491000115,0.0665594606741573,0.05968242156636451
200007,5,89.0,0.23073148980267913,0.08146479775280899,0.06887352902648372
200007,6,89.0,0.28775163856260144,0.05951650561797753,0.04852931413871433
200007,7,89.0,0.35842209209438936,0.04451706741573034,0.037774031883075515
200007,8,89.0,0.44501827430158,0.03902579775280899,0.0358638314563777
200007,9,89.0,0.5909629617044829,0.026713213483146068,0.02021228821868121
200007,10,90.0,1.1861675296204535,0.0092919,0.019563629818553842
200007,high_low,,,-0.07306653333333332,-0.04585129606346892
