,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,0.4160702092817767,0.7767117399211382,0.9195347209225909,1.1350559752928469,0.9961149494303561,1.0693086311040796,0.9523917129302815,1.0175520182916606,0.9235744223019541,0.9439909152626819,0.5279207059809052
t,0.6821677319384697,1.3074346262588274,1.5885049655332886,2.0120205748045494,1.7391998526600434,1.9518486927296617,1.742342376768943,1.9191497020876318,1.7999273903076767,1.739572004604793,1.6162104815843237
p,0.49513289599790933,0.19106514385314555,0.11217219911173673,0.044217768169808686,0.08199961537844985,0.050956171257675945,0.08144855242364044,0.054965390899332146,0.07187210406850957,0.08193419857367575,0.10604881335869007
