,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,0.8873803311456676,1.1324557912662239,1.2771742371694377,1.4010082973715527,1.441261998474003,1.42062167408133,1.383958856138948,1.3165460462145226,1.2996601620269248,1.132690300544935,0.24530996939926739
t,1.4108020314277874,1.8608116982492533,2.1278808785777237,2.3696231238400647,2.397082100670354,2.4313419518636503,2.3833577129454873,2.3255594382401155,2.337676916567561,1.962332256948823,0.909866453023902
p,0.15830299534772907,0.06277077291357584,0.03334696134947158,0.017806225305220552,0.016526220310920894,0.01504300972380352,0.017155515024845268,0.02004206556783557,0.019404014511359334,0.04972381405197258,0.36289294354444157
