,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,-43.848674681902224,14.320276843726107,-142.38642776457854,128.4841255142888,74.83663415172737,-62.37184237644154,3974.156492189953,370.5308666715376,-33.37693061332385,237.37807797924816,281.2267526611504
t,-0.6588816419611152,0.3812345505579124,-1.7326414281356228,0.9516083162408238,1.5672497621780144,-0.8772987718589992,1.2877159985227193,0.9553950305261377,-0.3704342742213869,0.9496352616327196,1.0893055105772886
p,0.5099717753529431,0.7030292138519655,0.08315942100884968,0.3412956623490153,0.1170563230405364,0.38032437914331774,0.1978448423894288,0.339377966143934,0.7110589401414096,0.3422976148960474,0.2760191835154041
