,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,high_low
mean,-2.992698602933274,-1.040441867398021,0.4161752693733077,1.554564915727696,1.4680674676907706,1.0070050600911233,1.5562197499111825,0.725044278813075,0.11502351946374884,-1.1782782862757075,1.8144203166575656
t,-2.631190864642082,-1.259036419912366,0.6248304475682768,2.538684043865336,3.125338642181956,2.003768217915934,3.223188363270331,1.128444920632656,0.14006882653665648,-0.884847518934444,0.8579210372656981
p,0.008508623594527035,0.20801717741170223,0.5320823449737426,0.011127026096997812,0.001776004752850865,0.04509489484048632,0.0012677215914642774,0.25913206579124815,0.8886056105639812,0.37623887648038756,0.3909360668886407
