TRDMNT,mom6m_g10,Count,mom6m,Ew_ret,Vw_ret
200001,1,83.0,-1.449681834282272,-0.16582073459058427,-8.34748036909682
200001,2,83.0,-0.9535338693950494,-0.42953869097221464,-3.5214227307286636
200001,3,83.0,-0.6912270659618557,-0.13491726873397172,0.341363890949597
200001,4,83.0,-0.4527631895432446,-0.18141151753614992,0.15115402579831963
200001,5,83.0,-0.24957345447522802,0.034701477528842194,-2.899859703310291
200001,6,83.0,-0.05318891588390261,-0.13260833714870168,-0.9707158219951955
200001,7,83.0,0.21375015147818222,0.09878415300027861,-2.325900602035231
200001,8,83.0,0.5545301359436212,0.20685670491598387,-4.5230784032978635
200001,9,83.0,1.0193422132869343,0.2227517213188607,1.8287643388711325
200001,10,83.0,2.062345828832814,0.5330237076102682,1.7856128686899697
200001,high_low,,,0.6988444422008524,10.13309323778679
200002,1,85.0,-1.4625545507537834,0.07898536738704798,0.010600383673099479
200002,2,84.0,-0.9853018083699584,-0.05879551127303546,-1.1946019226313485
200002,3,84.0,-0.7257852994454734,-0.10850930348255472,0.23863301536823453
200002,4,84.0,-0.48805537035380636,0.12592522380499727,0.4466424562791005
200002,5,84.0,-0.2585061814891126,-0.1052936907066299,1.4395365328151926
200002,6,84.0,-0.02175441008336343,0.09395132532042973,0.37235258339657945
200002,7,84.0,0.25596148370764904,0.004177196098810003,-0.08789175222706339
200002,8,84.0,0.6380523975460112,-0.06260703667400011,0.5905145975076104
200002,9,84.0,1.0714091805719175,0.018684807168405967,1.3926346617746355
200002,10,85.0,1.970487735047377,0.26540280948406425,0.37698901301566434
200002,high_low,,,0.18641744209701627,0.3663886293425649
200003,1,86.0,-1.3923748625252537,-0.21259640175716113,-0.7725853472340574
200003,2,85.0,-0.92798693320362,-0.08335682919697258,-1.4612795940875758
200003,3,85.0,-0.6692209044246352,-0.10775249653491939,-2.510909382010775
200003,4,85.0,-0.4645156598005695,0.028820711359842047,2.044143307322412
200003,5,85.0,-0.2680875590324021,0.0820530604162704,16.244989428680444
200003,6,85.0,-0.05712636971490266,0.09358882043358162,3.404995531027518
200003,7,85.0,0.17030654360620098,0.06243794876981642,4.096771097856943
200003,8,85.0,0.490731354538023,0.0345779828333862,0.5692219941150303
200003,9,85.0,0.9945989747267069,0.07029936332467851,0.7478434379591374
200003,10,86.0,2.1151719210245776,-0.14929422329517125,-3.6312450194405894
200003,high_low,,,0.06330217846198988,-2.858659672206532
200004,1,86.0,-1.256811473951661,-0.09751299527482095,-0.8144430057161249
200004,2,86.0,-0.7907058671227444,0.058024597902697234,-0.025493246005002156
200004,3,86.0,-0.6082457297468494,-0.060373498057032605,-1.7957079025265765
